english,klingon
"The password is ""Muiriel"".",«Muiriel» 'oH pegh mu''e'.
I will be back soon.,tugh jIcheghta'.
I was in the mountains.,HuDmeyDaq jIHtaH.
Is it a recent picture?,qen mIlloghvam qonlu''a'?
You are in my way.,chobottaH.
I miss you.,qaHutlh.
I'll call them tomorrow when I come back.,wa'leS jIcheghDI' chaH vIrI'.
You should sleep.,bIQongnIS.
Most people think I'm crazy.,jImaw' 'e' luHar HochHom.
Most people think I'm crazy.,jImaw' 'e' Qub HochHom.
No I'm not; you are!,ghobe'. jIHbe'. SoH'e'!
Hurry up.,tugh!
Hurry up.,yImoD!
Hurry up.,pemoD!
It doesn't surprise me.,mumerbe'.
I'm gonna shoot him.,ghaHvaD jIbach.
It would be something I'd have to program.,vay''e' vIghunnISbogh 'oH.
"I'd be unhappy, but I wouldn't kill myself.",vaj jIQuchHa' 'ach jIHoH'eghbe'.
Why do you ask?,qatlh bIghel?
This is not important.,potlhbe' 'oH.
You can do it.,Data'chu'laH!
"Even though he apologized, I'm still furious.","tlhIjpu', 'ach jIQay'taH."
No one will know.,Sov pagh.
I can only wait.,jIloSlaH neH.
I love you.,qamuSHa'.
I don't like you anymore.,qaparHa'choHpu'.
Congratulations!,qaHoy'.
How could I be a robot? Robots don't dream.,qatlh qoq jIHbej? najbe' qoq.
You're not fast enough.,yapbe' DolIj!
I don't speak Japanese.,nIpon Hol vIjatlhbe'.
A rolling stone gathers no moss is a proverb.,roltaHbogh naghDaq vI'be' tI. vIttlhegh 'oH mu'tlheghvam'e'.
"If you see a mistake, then please correct it.",Qagh Daleghchugh vaj 'oH yIlughmoH.
"Why aren't you going? ""Because I don't want to.""",«qatlh bIjeSbe'?» «jIjeS vIneHbe'.»
That's a good idea!,QaQ qechvam!
Damn! It's not bad!,ghuy'! qabbe'!
Do whatever he tells you.,ra'DI' yIlob!
What do you want?,nuqneH?
Paris is the most beautiful city in the world.,qo'Daq veng'e' vIraS mon 'IH law' Hoch 'IH puS.
"Thanks, that's all.",qatlho'. pItlh.
Italy is a very beautiful country.,Sep 'IHqu' 'oH 'Italya''e'.
It's not my fault!,pIch vIghajbe'!
Where are the showers?,nuqDaq bIH bIQ ghaywI' pa'mey'e'?
I have lost my wallet.,Huch buqwIj vIchIlpu'.
Mathematics is the part of science you could continue to do if you woke up tomorrow and discovered the universe was gone.,"wa'leS vemlu'pu'DI' ngabpu' 'u' 'e' tu'lu'chugh, vaj QeD 'ay' HaDqa'laHbogh 'oH mI' QeD'e'."
I'm tired.,jIDoy'.
"If you're tired, why don't you go to sleep? ""Because if I go to sleep now I will wake up too early.""",«bIDoy'chugh chay' bIQongchoHbe'?» «DaH jIQongchoHchugh vaj tlhoy 'eq jIvemDI'.»
"What changes the world is communication, not information.","qo' choH Qum'e', choHbe' De''e'."
"The past can only be known, not changed. The future can only be changed, not known.","ret DaSovlaH neH, 'ach DachoHlaHbe'. pIq DachoHlaH neH, 'ach DaSovlaHbe'."
I'm undressing.,jItuQHa'moHlI'.
The car crashed into the wall.,reD ngeQpu' puH Duj.
That was the best day of my life.,yInwIj jaj nIvqu' 'oH.
